method_label,accuracy,std_accuracy,error_rate,std_error_rate,nll,std_nll,ece,std_ece,n_seeds
source,0.7120000123977661,,0.2879999876022339,,0.8192911148071289,,0.0291545335203409,,1
bn,0.703000009059906,,0.296999990940094,,0.838817834854126,,0.0281636789441108,,1
entropy,0.7070000171661377,,0.2929999828338623,,0.8243919014930725,,0.0314271114766597,,1
gated@0.5,0.7070000171661377,,0.2929999828338623,,0.82435142993927,,0.0295364409685134,,1
gated@0.7,0.7059999704360962,,0.2940000295639038,,0.8259204626083374,,0.0279094912111759,,1
gated@0.9,0.7064999938011169,,0.293500006198883,,0.8273889422416687,,0.032845389097929,,1
