method_label,avg_accuracy,std_accuracy,avg_runtime_sec,avg_runtime_per_batch_sec,selected_fraction,n_seeds
source,0.49669999735695974,,0.8382609742857118,0.10478262178571397,0.0,1
bn,0.615000000170299,,0.8294051457142856,0.1036756432142857,1.0,1
entropy,0.6227714249065944,,1.6176545628571404,0.20220682035714255,1.0,1
gated@0.5,0.6229714291436331,,1.6285538514285691,0.20356923142857114,0.7180285714285715,1
gated@0.7,0.6224571440901076,,1.628740008571429,0.20359250107142862,0.4710714285714286,1
gated@0.9,0.6201142873082842,,1.6295949057142858,0.20369936321428572,0.24300000000000002,1
