method_label,avg_accuracy,std_accuracy,avg_error_rate,std_error_rate,avg_runtime_sec,std_runtime_sec,avg_runtime_per_batch_sec,std_runtime_per_batch_sec,selected_fraction,std_selected_fraction,n_seeds,improvement_over_source,improvement_over_entropy
source,0.49669999735695974,,0.5033000026430402,,0.8382609742857118,,0.10478262178571397,,0.0,,1,0.0,-0.12607142754963468
bn,0.615000000170299,,0.384999999829701,,0.8294051457142856,,0.1036756432142857,,1.0,,1,0.11830000281333924,-0.00777142473629544
entropy,0.6227714249065944,,0.3772285750934055,,1.6176545628571404,,0.20220682035714255,,1.0,,1,0.12607142754963468,0.0
gated@0.5,0.6229714291436331,,0.3770285708563668,,1.6285538514285691,,0.20356923142857114,,0.7180285714285715,,1,0.12627143178667338,0.00020000423703869785
gated@0.7,0.6224571440901076,,0.3775428559098925,,1.628740008571429,,0.20359250107142862,,0.4710714285714286,,1,0.1257571467331478,-0.0003142808164868782
gated@0.9,0.6201142873082842,,0.3798857126917158,,1.6295949057142858,,0.20369936321428572,,0.24300000000000002,,1,0.12341428995132447,-0.002657137598310211
