epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec,subset_size
1,2.394079448814392,0.19062,1.736351040649414,0.3367,0.09045084971874738,25.662196900000026,
2,1.5636761474227905,0.4129,1.4549044921875,0.4563,0.06545084971874737,50.610203400000046,
3,1.2373626113891603,0.54928,1.2051912160873413,0.5775,0.03454915028125263,75.7286474,
4,0.9745414343261719,0.6503,1.001883719444275,0.6479,0.009549150281252633,101.1767092,
5,0.817974193572998,0.71028,0.8398516086578369,0.7054,0.0,126.7375697,
