epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec,subset_size
1,2.394079448814392,0.19062,1.736351040649414,0.3367,0.09990133642141358,31.885895500000004,
2,1.5637962823867797,0.41484,1.4663901288986205,0.4578,0.0996057350657239,63.8660861,
3,1.2457176671218873,0.54464,1.319293500328064,0.5375,0.09911436253643444,96.1784503,
4,0.9952091566085816,0.6454,1.3645033334732055,0.5568,0.09842915805643154,130.0591239,
5,0.8512597600746155,0.69958,0.9051409118652344,0.6816,0.09755282581475767,163.92534,
6,0.7383155006217956,0.73976,0.9548915126800537,0.6866,0.09648882429441256,197.4008783,
7,0.6449259871768951,0.77402,0.7039155662536621,0.7598,0.09524135262330098,227.825491,
8,0.5628701474189758,0.8049,0.8368203407287598,0.7158,0.09381533400219318,257.1379397,
9,0.5104033906173706,0.82278,0.6940481259346009,0.7733,0.09221639627510075,286.6610318,
10,0.4633124904537201,0.83828,0.6552540453910828,0.784,0.09045084971874737,316.0662177,
11,0.4364055372428894,0.84702,0.5817412231445312,0.8026,0.08852566213878946,348.10041739999997,
12,0.40263918478012084,0.8598,0.5195350358963012,0.8273,0.08644843137107057,379.68058609999997,
13,0.3745987467098236,0.86978,0.5087467653274537,0.8277,0.08422735529643442,409.3408337,
14,0.3553646590423584,0.8779,0.45597282309532167,0.844,0.08187119948743447,438.57032549999997,
15,0.33604281402587893,0.88382,0.6601559154510498,0.7905,0.07938926261462366,472.9710505,
16,0.3182286924648285,0.89046,0.5170982825279236,0.83,0.07679133974894982,505.5867141,
17,0.29963670210838317,0.89686,0.4110784697532654,0.8626,0.07408768370508576,536.1079546000001,
18,0.2898048547363281,0.89952,0.4428507778644562,0.8573,0.07128896457825362,566.6442189,
19,0.27037543076515197,0.90704,0.48585247602462767,0.8468,0.06840622763423389,596.5825946000001,
20,0.25900706708908083,0.90994,0.48963184118270875,0.8387,0.06545084971874736,623.6659374000001,
21,0.2460785403442383,0.91514,0.5554899606704712,0.8296,0.06243449435824272,654.1227052,
22,0.2296015480709076,0.92048,0.3839155417442322,0.8762,0.05936906572928623,684.0405722,
23,0.21650685786724091,0.9263,0.35918076314926145,0.884,0.056266661678215216,714.2588022000001,
24,0.21108229164600373,0.92638,0.44989347276687625,0.8575,0.053139525976465665,744.1860509,
25,0.19012666487693786,0.934,0.47826448392868043,0.8529,0.049999999999999996,777.6650000000001,
26,0.18221895515441894,0.93682,0.43884623556137087,0.8629,0.046860474023534326,813.343823,
27,0.17060929794311525,0.9413,0.34984893262386324,0.8886,0.04373333832178478,846.7575533,
28,0.15295271790504456,0.94816,0.3802799045562744,0.8826,0.040630934270713764,878.6830745000001,
29,0.14251056896209716,0.9517,0.3930503514289856,0.8797,0.03756550564175726,911.4072451000001,
30,0.12880571958065032,0.95674,0.3215924150466919,0.9028,0.03454915028125265,945.0190969,
31,0.11504512702465057,0.95938,0.33331839294433596,0.8986,0.03159377236576612,979.428027,
32,0.10571609501838684,0.96382,0.31550756001472474,0.9039,0.028711035421746366,1012.0668986000001,
33,0.08979841547250747,0.96946,0.34516584459543226,0.9005,0.025912316294914226,1045.2116716,
34,0.0802101829957962,0.97236,0.33474369258880615,0.9046,0.023208660251050155,1073.677858,
35,0.06920247972249985,0.97616,0.33971349420547486,0.9014,0.020610737385376346,1106.0084333999998,
36,0.05665950083255768,0.98226,0.3306604856014252,0.9094,0.01812880051256551,1136.8336875999998,
37,0.04776388560533523,0.98456,0.28846526408195494,0.9171,0.015772644703565562,1168.0790857,
38,0.03784631574511528,0.98796,0.2703626107215881,0.9246,0.013551568628929433,1197.2010071,
39,0.026335080832242966,0.99196,0.2641890205860138,0.926,0.011474337861210542,1225.0936571999998,
40,0.022965875236988068,0.99306,0.26130545310974124,0.9289,0.009549150281252632,1254.4587531,
41,0.017528037771880625,0.99474,0.2518109634637833,0.932,0.007783603724899257,1282.3776209999999,
42,0.01348772547364235,0.99652,0.24956699347496034,0.9322,0.0061846659978068205,1310.8979691,
43,0.011211329188346863,0.99724,0.24792127630710603,0.9348,0.004758647376699033,1340.6248079,
44,0.008293111400604248,0.99842,0.24583199872970582,0.935,0.0035111757055874327,1370.2194378,
45,0.0076039655011892315,0.99842,0.2440557017326355,0.9364,0.0024471741852423235,1403.298936,
46,0.006359403528869152,0.99886,0.24110373849868774,0.9374,0.0015708419435684518,1435.6914431999999,
47,0.0055986049556359645,0.9993,0.23980839042663574,0.9373,0.000885637463565564,1465.038644,
48,0.005774452296495438,0.99902,0.23805564351081848,0.9378,0.00039426493427611173,1497.4418474,
49,0.006041719154715538,0.99892,0.23769628834724427,0.9371,9.866357858642205e-05,1530.843199,
50,0.005282934752702713,0.99926,0.23793988308906555,0.9366,0.0,1565.5180851,
