method_label,accuracy,std_accuracy,error_rate,std_error_rate,nll,std_nll,ece,std_ece,n_seeds
source,0.9377999901771544,,0.0622000098228454,,0.2380556166172027,,0.0347442924976348,,1
bn,0.9182000160217284,,0.0817999839782714,,0.3096482753753662,,0.0434576794505119,,1
entropy,0.9241999983787536,,0.0758000016212463,,0.3206105530261993,,0.0494015365839004,,1
gated@0.5,0.9229999780654908,,0.0770000219345092,,0.3193270266056061,,0.0500201731920242,,1
gated@0.7,0.921999990940094,,0.078000009059906,,0.3229320645332336,,0.0503134429454803,,1
gated@0.9,0.9247000217437744,,0.0752999782562255,,0.3088555037975311,,0.0467044711112976,,1
