method_label,avg_accuracy,avg_error_rate,avg_runtime_sec,selected_fraction
gated@0.5,0.6229714291436331,0.3770285708563668,1.6285538514285691,0.7180285714285715
entropy,0.6227714249065944,0.3772285750934055,1.6176545628571404,1.0
gated@0.7,0.6224571440901076,0.3775428559098925,1.628740008571429,0.4710714285714286
gated@0.9,0.6201142873082842,0.3798857126917158,1.6295949057142858,0.24300000000000002
bn,0.615000000170299,0.384999999829701,0.8294051457142856,1.0
source,0.49669999735695974,0.5033000026430402,0.8382609742857118,0.0
