method_label,avg_accuracy,std_accuracy,avg_runtime_sec,avg_runtime_per_batch_sec,selected_fraction,n_seeds
source,0.5905428567102977,,5.365881534285696,0.13414703835714237,0.0,1
bn,0.7656142907483238,,5.268831459999996,0.13172078649999985,1.0,1
entropy,0.790762859582901,,8.931804405714288,0.22329511014285722,1.0,1
gated@0.5,0.7903599986008235,,9.066161885714294,0.22665404714285733,0.9749457142857143,1
gated@0.7,0.7904257152761732,,9.113602862857144,0.22784007157142855,0.9027542857142857,1
gated@0.9,0.7917657153947013,,9.044791665714293,0.22611979164285723,0.8044,1
